off,def,startTime,endTime,endText,dur,points,actionPlayer,turnover,oRebs,blks,assist,steal,startState,endState,fastBreak,qtr,dFouls,defTeamPts,shots,gameId
22.0,29.0,438.0,419.0,LaMarcus Aldridge makes a running jump shot from 11 feet out.,19.0,2.0,-1.0,False,0.0,0.0,-1.0,False,6.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,419.0,397.0,LaMarcus Aldridge with a defensive rebound.,22.0,0.0,-1.0,False,1.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,"[208994, 208994]",1539622.0
22.0,29.0,397.0,388.0,Kosta Koufos steals the ball from Damian Lillard.,9.0,0.0,-1.0,True,0.0,0.0,-1.0,True,1.0,5.0,False,2.0,1.0,0.0,[],1539622.0
29.0,22.0,388.0,375.0,Tony Allen makes a reverse layup from 1 foot out. Vince Carter with the assist.,13.0,2.0,-1.0,False,1.0,0.0,55084.0,False,5.0,2.0,True,2.0,0.0,0.0,"[208994, 208994]",1539622.0
22.0,29.0,375.0,355.0,Meyers Leonard makes a 3-point jump shot from 25 feet out. Nicolas Batum with the assist.,20.0,3.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,355.0,328.0,Nicolas Batum with a defensive rebound.,27.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,328.0,314.0,Nick Calathes with a defensive rebound.,14.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,314.0,287.0,Vince Carter makes a putback slam dunk.,27.0,3.0,-1.0,False,3.0,0.0,-1.0,False,1.0,2.0,False,2.0,1.0,0.0,"[208994, 208994, 208994]",1539622.0
22.0,29.0,287.0,274.0,C.J. McCollum with a lost ball out of bounds turnover: Lost Ball Out of Bounds,13.0,0.0,-1.0,True,0.0,0.0,-1.0,False,2.0,4.0,False,2.0,0.0,0.0,[],1539622.0
29.0,22.0,274.0,258.0,LaMarcus Aldridge with a defensive rebound.,16.0,0.0,-1.0,False,0.0,0.0,-1.0,False,4.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,258.0,250.0,Nicolas Batum makes a layup from 1 foot out.,8.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,250.0,231.0,Nicolas Batum with a defensive rebound.,19.0,0.0,-1.0,False,1.0,1.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,"[208994, 208994]",1539622.0
22.0,29.0,231.0,219.0,Marc Gasol with a defensive rebound.,12.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,219.0,212.0,Courtney Lee makes a pull up jump shot from 13 feet out.,7.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,212.0,185.0,Zach Randolph with a defensive rebound.,27.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
